#
# x265 --input FourPeople_1280x720_60.y4m -o out.h265 \
#      --pools 0 --frame-threads 1 --bframes 0 --rc-lookahead 0 --preset superfast --ref 1 --bitrate 2000
----------------------------------------------------------------------
Threads summary [ 3 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
    encodeCTU           0.0   0.0    74059.5    73817.1    1.00    0.0
    encodeCTU           0.0   0.0    73393.4    73152.9    1.00  190.2
    encodeCTU           0.0   0.0    61121.5    60919.9    1.00    0.0
    encodeCTU           0.0   0.0    74983.2    74738.4    1.00    0.0
    encodeCTU           0.0   0.0    56728.4    56541.9    1.00    0.0
    encodeCTU           0.0   0.0    51910.7    51741.1    1.00    0.0
    encodeCTU           0.1   0.1    42736.3    42594.9    1.00    0.0
    encodeCTU           0.0   0.0    51989.9    51818.8    1.00  134.7
    encodeCTU           0.1   0.1    37085.8    36963.1    1.00  288.3
    encodeCTU           0.1   0.1    15402.5    15351.6    1.00   39.9
    encodeCTU           0.1   0.1    22669.9    22594.8    1.00   58.7
    encodeCTU           0.1   0.1    23740.4    23661.9    1.00   61.5
    filterCTURow        0.0   0.0   949755.9   946969.8    1.00    0.0
    encodeCTU           0.0   0.0    47057.9    46902.1    1.00  121.9
    encodeCTU           0.0   0.0    76417.1    76167.3    1.00    0.0
    encodeCTU           0.0   0.0    51617.4    51448.3    1.00  133.8
    encodeCTU           0.0   0.0    61196.5    60994.2    1.00    0.0
    encodeCTU           0.0   0.0    56818.2    56631.6    1.00    0.0
    encodeCTU           0.0   0.0    52087.4    51915.7    1.00  135.0
    encodeCTU           0.0   0.0    49366.8    49205.3    1.00  255.8
    encodeCTU           0.0   0.0    60637.1    60437.6    1.00    0.0
    encodeCTU           0.0   0.0    61674.7    61470.4    1.00  159.8
    encodeCTU           0.0   0.0    83056.7    82781.5    1.00    0.0
    encodeCTU           0.0   0.0    58951.8    58757.9    1.00    0.0
    encodeCTU           0.0   0.0    69378.9    69151.5    1.00    0.0
    encodeCTU           0.0   0.0    58965.6    58771.7    1.00  152.8
    encodeCTU           0.0   0.0    58403.1    58210.6    1.00    0.0
    encodeCTU           0.0   0.0    58108.7    57917.3    1.00  150.6
    encodeCTU           0.0   0.0    51328.8    51158.7    1.00    0.0
    encodeCTU           0.0   0.0    47194.2    47038.9    1.00  366.9
    encodeCTU           0.0   0.0    65259.0    65044.9    1.00    0.0
    encodeCTU           0.0   0.0    70773.8    70541.8    1.00  183.4
    encodeCTU           0.0   0.0    71802.8    71566.6    1.00  186.1
    encodeCTU           0.0   0.0    58612.5    58421.5    1.00  151.9
    encodeCTU           0.0   0.0    59848.1    59651.6    1.00  310.2
    encodeCTU           0.0   0.0    57800.1    57610.3    1.00  149.8
    encodeCTU           0.0   0.0    65964.4    65746.2    1.00    0.0
    encodeCTU           0.0   0.0    61406.5    61203.3    1.00    0.0
    encodeCTU           0.0   0.0    59186.7    58993.6    1.00    0.0
    encodeCTU           0.0   0.0    52796.6    52623.3    1.00    0.0
    encodeCTU           0.0   0.0    69230.8    69003.6    1.00  358.8
    encodeCTU           0.0   0.0    64959.6    64745.9    1.00  168.3
    encodeCTU           0.0   0.0    69422.9    69194.6    1.00  179.9
    encodeCTU           0.0   0.0    68554.7    68329.4    1.00    0.0
    encodeCTU           0.0   0.0    68520.4    68296.7    1.00  532.7
    encodeCTU           0.0   0.0    67476.1    67254.0    1.00  174.8
    encodeCTU           0.0   0.0    63040.4    62833.8    1.00  163.4
    encodeCTU           0.1   0.1    39637.4    39507.0    1.00    0.0
    encodeCTU           0.0   0.0    47174.6    47019.0    1.00  122.2
    encodeCTU           0.1   0.1    23908.2    23829.4    1.00    0.0
    encodeCTU           0.2   0.2    11851.8    11812.7    1.00  122.8
    encodeCTU           0.1   0.1    16845.0    16789.2    1.00  218.2
    encodeCTU           0.1   0.1    21211.1    21141.2    1.00    0.0
    filterCTURow        0.0   0.0   899597.2   896861.1    1.00    0.0
    encodeCTU           0.1   0.1    39826.2    39695.1    1.00    0.0
    encodeCTU           0.0   0.0    60455.4    60255.5    1.00    0.0
    encodeCTU           0.0   0.0    50820.9    50653.4    1.00    0.0
    encodeCTU           0.0   0.0    55290.7    55108.6    1.00    0.0
    encodeCTU           0.0   0.0    50940.2    50771.7    1.00    0.0
    encodeCTU           0.0   0.0    51627.6    51458.9    1.00    0.0
    encodeCTU           0.0   0.0    45939.0    45787.5    1.00  238.1
    encodeCTU           0.0   0.0    59095.1    58899.8    1.00    0.0
    encodeCTU           0.0   0.0    51843.3    51671.6    1.00  134.3
    encodeCTU           0.0   0.0    69811.9    69584.6    1.00    0.0
    encodeCTU           0.0   0.0    66563.6    66343.8    1.00    0.0
    encodeCTU           0.0   0.0    65157.5    64943.5    1.00    0.0
    encodeCTU           0.0   0.0    57203.6    57015.8    1.00  148.2
    encodeCTU           0.0   0.0    53154.5    52980.1    1.00  275.5
    encodeCTU           0.0   0.0    54830.1    54650.8    1.00    0.0
    encodeCTU           0.0   0.0    50138.9    49975.0    1.00  129.9
    encodeCTU           0.1   0.1    39116.5    38987.9    1.00    0.0
    encodeCTU           0.1   0.1    34460.3    34346.6    1.00    0.0
    encodeCTU           0.1   0.1    41711.6    41574.9    1.00  108.1
    encodeCTU           0.0   0.0    67732.3    67508.3    1.00  175.5
    encodeCTU           0.0   0.0    63664.7    63455.8    1.00    0.0
    encodeCTU           0.0   0.0    63602.2    63391.4    1.00  329.6
    encodeCTU           0.0   0.0    52097.7    51926.5    1.00    0.0
    encodeCTU           0.0   0.0    71256.4    71022.7    1.00  184.6
    encodeCTU           0.0   0.0    52450.7    52279.4    1.00    0.0
    encodeCTU           0.0   0.0    54191.0    54013.2    1.00  140.4
    encodeCTU           0.0   0.0    54590.9    54409.9    1.00    0.0
    encodeCTU           0.0   0.0    62772.6    62566.5    1.00  325.3
    encodeCTU           0.0   0.0    64402.4    64189.0    1.00    0.0
    encodeCTU           0.0   0.0    63270.6    63063.6    1.00    0.0
    encodeCTU           0.0   0.0    66406.8    66190.1    1.00    0.0
    encodeCTU           0.0   0.0    69814.3    69584.6    1.00    0.0
    encodeCTU           0.0   0.0    70337.9    70106.6    1.00    0.0
    encodeCTU           0.1   0.1    43757.8    43612.9    1.00    0.0
    encodeCTU           0.1   0.1    25072.8    24990.0    1.00  194.9
    encodeCTU           0.2   0.2    13091.0    13047.7    1.00   67.8
    encodeCTU           0.2   0.2    11396.2    11358.5    1.00   88.6
    encodeCTU           0.1   0.1    16004.4    15951.5    1.00   41.5
    encodeCTU           0.2   0.2    10779.1    10743.4    1.00  111.7
    encodeCTU           0.2   0.2    12508.4    12467.0    1.00   64.8
    filterCTURow        0.0   0.0   895057.1   892857.2    1.00    0.0
    encodeCTU           0.1   0.1    42702.1    42560.4    1.00    0.0
    encodeCTU           0.0   0.0    45904.0    45751.9    1.00    0.0
    encodeCTU           0.0   0.0    53354.3    53180.2    1.00    0.0
    encodeCTU           0.0   0.0    55788.4    55605.0    1.00  144.6
    encodeCTU           0.0   0.0    48606.3    48447.3    1.00  125.9
    encodeCTU           0.0   0.0    51861.2    51690.3    1.00  134.4
    encodeCTU           0.0   0.0    53458.4    53282.2    1.00  138.5
    encodeCTU           0.0   0.0    57893.4    57703.4    1.00    0.0
    encodeCTU           0.0   0.0    52689.5    52515.5    1.00    0.0
    encodeCTU           0.0   0.0    51796.6    51626.2    1.00    0.0
    encodeCTU           0.1   0.1    39229.0    39099.2    1.00    0.0
    encodeCTU           0.0   0.0    57336.3    57146.1    1.00    0.0
    encodeCTU           0.0   0.0    53474.5    53299.2    1.00    0.0
    encodeCTU           0.0   0.0    46573.4    46420.9    1.00  482.7
    encodeCTU           0.0   0.0    51359.8    51190.2    1.00  133.1
    encodeCTU           0.1   0.1    29072.0    28976.3    1.00   75.3
    encodeCTU           0.1   0.1    15905.7    15853.1    1.00  164.9
    encodeCTU           0.1   0.1    23629.2    23551.0    1.00   61.2
    encodeCTU           0.1   0.1    17133.9    17077.1    1.00   44.4
    encodeCTU           0.1   0.1    33412.0    33302.3    1.00  173.2
    encodeCTU           0.0   0.0    56404.2    56217.7    1.00  146.2
    encodeCTU           0.0   0.0    60586.0    60386.5    1.00  471.0
    encodeCTU           0.0   0.0    54265.7    54086.2    1.00    0.0
    encodeCTU           0.0   0.0    61072.6    60871.7    1.00  158.3
    encodeCTU           0.1   0.1    38707.4    38580.2    1.00  200.6
    encodeCTU           0.2   0.2    12409.3    12368.3    1.00   96.5
    encodeCTU           0.1   0.1    14961.1    14911.6    1.00    0.0
    encodeCTU           0.1   0.1    15972.9    15920.0    1.00   82.8
    encodeCTU           0.1   0.1    30397.0    30296.6    1.00    0.0
    encodeCTU           0.0   0.0    52944.9    52770.5    1.00    0.0
    encodeCTU           0.0   0.0    56396.8    56211.4    1.00  146.1
    encodeCTU           0.0   0.0    50326.8    50160.5    1.00    0.0
    encodeCTU           0.1   0.1    31513.4    31409.0    1.00    0.0
    encodeCTU           0.1   0.1    23781.3    23702.9    1.00   61.6
    encodeCTU           0.1   0.1    15562.8    15511.3    1.00  121.0
    encodeCTU           0.3   0.3     8137.2     8110.2    1.00  105.4
    encodeCTU           0.3   0.3     7516.8     7491.9    1.00  116.9
    encodeCTU           0.3   0.3     8720.9     8692.0    1.00   67.8
    encodeCTU           0.2   0.2     9942.5     9909.5    1.00  128.8
    encodeCTU           0.2   0.2     9168.1     9137.7    1.00  142.5
    filterCTURow        0.0   0.0   837965.5   835421.9    1.00    0.0
    encodeCTU           0.1   0.1    21830.6    21758.5    1.00    0.0
    encodeCTU           0.0   0.0    45459.3    45310.4    1.00    0.0
    encodeCTU           0.1   0.1    44219.9    44074.2    1.00  229.2
    encodeCTU           0.0   0.0    51805.0    51634.2    1.00  134.2
    encodeCTU           0.0   0.0    58637.1    58445.4    1.00  151.9
    encodeCTU           0.0   0.0    61026.8    60827.3    1.00  158.1
    encodeCTU           0.0   0.0    54407.2    54227.0    1.00    0.0
