#
# x265 --input FourPeople_1280x720_60.y4m -o out.h265
#
----------------------------------------------------------------------
Threads summary [ 8 thread(s) ]
----------------------------------------------------------------------
name                   inc%  exc%        fps   call/sec call/fr   cpu%
    estCostSingle       0.0   0.0   535851.0      850.6    0.00 1329.0
    estCostSingle       0.0   0.0  3308823.5     5252.1    0.00    0.0
    estCostSingle       0.0   0.0   624071.3      990.6    0.00    0.0
    estCostSingle       0.0   0.0  3331570.8     5288.2    0.00    0.0
    estCostSingle       0.0   0.0   630820.1     1001.3    0.00    0.0
    estCostSingle       0.0   0.0   310161.5      492.3    0.00    0.0
    estCostSingle       0.0   0.0   519802.0      825.1    0.00    0.0
    estCostSingle       0.0   0.0  3185035.8     5055.6    0.00    0.0
    estCostSingle       0.0   0.0   523777.9      831.4    0.00    0.0
    estCostSingle       0.0   0.0   530615.7      842.2    0.00    0.0
    estCostSingle       0.0   0.0   549978.2      873.0    0.00    0.0
    estCostSingle       0.0   0.0   530347.7      841.8    0.00    0.0
    estCostSingle       0.0   0.0   556144.1      882.8    0.00    0.0
    estCostSingle       0.0   0.0   625620.6      993.0    0.00    0.0
    estCostSingle       0.0   0.0  3351064.0     5319.1    0.00    0.0
    estCostSingle       0.0   0.0   546542.9      867.5    0.00    0.0
    estCostSingle       0.0   0.0   510948.9      811.0    0.00    0.0
    estCostSingle       0.0   0.0   557917.1      885.6    0.00 1383.7
    estCostSingle       0.0   0.0   537955.8      853.9    0.00    0.0
    estCostSingle       0.0   0.0   533853.1      847.4    0.00    0.0
    estCostSingle       0.0   0.0  3291536.2     5224.7    0.00    0.0
    estCostSingle       0.0   0.0   407055.7      646.1    0.00    0.0
    estCostSingle       0.0   0.0   463576.1      735.8    0.00    0.0
    estCostSingle       0.0   0.0   566648.7      899.4    0.00    0.0
    estCostSingle       0.0   0.0   542355.4      860.9    0.00    0.0
    estCostSingle       0.0   0.0   557768.9      885.3    0.00    0.0
    estCostSingle       0.0   0.0  1111895.5     1764.9    0.00    0.0
    estCostSingle       0.0   0.0   508023.5      806.4    0.00    0.0
    estCostSingle       0.0   0.0  3333333.2     5291.0    0.00    0.0
    estCostSingle       0.0   0.0   556389.6      883.2    0.00    0.0
    estCostSingle       0.0   0.0  3148425.8     4997.5    0.00    0.0
    estCostSingle       0.0   0.0   579950.2      920.6    0.00    0.0
    estCostSingle       0.0   0.0   609166.5      966.9    0.00 1510.8
    estCostSingle       0.0   0.0   504524.7      800.8    0.00    0.0
    estCostSingle       0.0   0.0  3143712.8     4990.0    0.00    0.0
    estCostSingle       0.0   0.0   551857.1      876.0    0.00    0.0
    estCostSingle       0.0   0.0   548302.9      870.3    0.00    0.0
    estCostSingle       0.0   0.0   562198.9      892.4    0.00    0.0
    estCostSingle       0.0   0.0   341463.4      542.0    0.00    0.0
    estCostSingle       0.0   0.0   527947.7      838.0    0.00    0.0
